	0	1	2	3	4	5	6	7	8	9	10	11	12	13
0	0.0	-18.0	-15.0	-12.0	-9.0	-6.0	-3.0	0.0	3.0	6.0	9.0	12.0	15.0	18.0
1	0.2748893568749995	-0.001662115	-0.0011863809999999998	-0.0006983444000000001	-0.00019999519999999997	0.0003068826	0.000818836	0.00133068	0.001837213	0.0023324100000000005	0.0028123230000000003	0.003272693	0.0037075990000000002	0.00411183
2	0.2932153139999995	-0.001784893	-0.0012728599999999998	-0.0007491733	-0.0002148329	0.00032817210000000004	0.0008761360999999999	0.0014235340000000002	0.00196502	0.002493602	0.003005838	0.003496443	0.003958975	0.004388367
3	0.31415926499999947	-0.001924282	-0.0013731050000000001	-0.0008081715000000001	-0.00023216540000000003	0.00035260349999999995	0.0009421722	0.001530856	0.0021114940000000002	0.002679141	0.003228377	0.0037534900000000004	0.0042475510000000005	0.004705474
4	0.3383253623076917	-0.002090808	-0.001490878	-0.0008774966	-0.00025264389999999997	0.00038107179999999997	0.001019322	0.0016551469999999998	0.0022827200000000002	0.002895315	0.0034871790000000004	0.004051932	0.004582263999999999	0.00507289
5	0.36651914249999934	-0.002288718	-0.001631259	-0.0009601769	-0.0002772925	0.0004145641	0.0011100860000000001	0.001802724	0.002485186	0.0031503209999999998	0.0037920920000000004	0.004403039999999999	0.004975556000000001	0.005503938
6	0.39983906454545387	-0.0025282119999999997	-0.0018015190000000001	-0.001060653	-0.00030764860000000003	0.0004539628	0.0012191810000000004	0.001980057	0.0027279220000000002	0.00345587	0.004156771000000001	0.004822317	0.005444542	0.006017143
7	0.43982297099999923	-0.002824976	-0.002012489	-0.0011854309999999998	-0.00034611950000000005	0.0005021122	0.001352691	0.002196284	0.003024147	0.0038285759999999998	0.004600954	0.005332356	0.006014019000000001	0.006649699
8	0.48869218999999914	-0.0032025639999999998	-0.002281282	-0.0013450950000000001	-0.00039562889999999996	0.0005619182000000001	0.0015194639999999997	0.002466546	0.003394094	0.00429318	0.005153754	0.005966211	0.006723466	0.007464953
9	0.549778713749999	-0.00370127	-0.00263687	-0.0015560300000000001	-0.0004613665	0.000639228	0.001735845	0.0028171900000000002	0.0038731	0.0048933	0.005865925	0.006779970000000001	0.007644852000000001	0.008447938
10	0.586430627999999	-0.004014835	-0.0028609750000000004	-0.00168964	-0.0005044385	0.0006850275000000001	0.001867685	0.003031876	0.004167085	0.005261525	0.00630221	0.007284107000000001	0.008212534	0.009068954
11	0.6283185299999989	-0.004388260000000001	-0.0031280150000000005	-0.00184908	-0.0005568425000000001	0.0007369799999999999	0.0020209950000000003	0.00328262	0.004510635000000001	0.005691325	0.006811073	0.007879316	0.008878255	0.009924014
12	0.6766507246153834	-0.00484046	-0.003451465	-0.0020426850000000002	-0.0006219225000000001	0.0007965285	0.002201095	0.003579445	0.00491746	0.00619958	0.007418863	0.008582468000000001	0.009718662	0.011001239999999999
13	0.7330382849999987	-0.00539894	-0.00385107	-0.00228261	-0.000704909	0.0008651668	0.002416631	0.0039359	0.005406145	0.006812192	0.008158727	0.009478107	0.010847069999999999	0.01227074
14	0.7996781290909077	-0.006105035	-0.004356339999999999	-0.00258738	-0.0008141776999999999	0.000944966	0.0026796	0.0043725000000000005	0.006004325	0.007575373000000001	0.009084041	0.010693590000000001	0.01221298	0.01345118
15	0.8246680706249985	-0.006382335	-0.004555051000000001	-0.002708101	-0.0008589089999999999	0.0009739005	0.002779658	0.004539268	0.006234337999999999	0.007860717	0.009456935	0.01121647	0.012829710000000003	0.01396349
16	0.8796459419999985	-0.007021955	-0.005013262	-0.002987065	-0.0009633371	0.0010386990000000003	0.003006351	0.004917693	0.006759276000000001	0.008528279000000001	0.010412689999999999	0.012245599999999999	0.013785019999999999	0.01512727
17	0.9424777949999983	-0.007801248	-0.00557252	-0.003329586	-0.0010942039999999999	0.001111992	0.003272875	0.00536645	0.007384728000000001	0.009427379999999999	0.011471350000000002	0.01344163	0.0150169	0.01679034
18	0.9773843799999983	-0.008259065	-0.005901294999999999	-0.0035313849999999997	-0.0011719200000000001	0.001153035	0.0034258160000000004	0.0056263070000000005	0.007777559	0.009962405	0.01213604	0.01404796	0.015783000000000002	0.017905070000000002
19	1.014976086923075	-0.008768754	-0.006268274	-0.0037576099999999998	-0.0012607299999999998	0.0011948129999999999	0.003590269	0.005909823	0.008173724	0.010558070000000001	0.012891389999999999	0.01474058	0.016730129999999996	0.01925648
20	1.099557427499998	-0.00999865	-0.00715361	-0.004303250000000001	-0.00147713	0.0012890299999999998	0.003977065	0.006580184	0.009285599999999998	0.01183008	0.01428284	0.01661938	0.01941889	0.02294722
21	1.172861255999998	-0.011155000000000002	-0.00798647	-0.00481787	-0.0016865600000000001	0.001365583	0.004324043	0.00720861	0.010225205	0.0130536	0.01572239	0.018697719999999998	0.02239464	0.026823120000000002
22	1.1995171936363616	-0.01159558	-0.008303946	-0.005014742	-0.001768389	0.001387516	0.004421481	0.007437626	0.01052154	0.01347707	0.01629525	0.01958852	0.023623869999999998	0.02836139
23	1.2566370599999979	-0.012585899999999999	-0.009016870000000001	-0.00545662	-0.0019519	0.001444571	0.0046527370000000005	0.007955378	0.011360569999999999	0.014455059999999999	0.017782020000000003	0.02176877	0.02656289	0.03189961
24	1.3194689129999977	-0.01373716	-0.00984566	-0.005972874	-0.00218134	0.0014097629999999999	0.0049092450000000004	0.008570251000000003	0.01219983	0.01573094	0.01973057	0.024564390000000002	0.03020284	0.03601572
